country,year,sex,age,suicides_no, population ,country-year, gdp_for_year ($) ,gdp_per_capita ($),generation
Albania,1987,male,15-24 years,21," 312,900 ",Albania1987,"2,15,66,24,900",796,Generation X
Albania,1987,male,35-54 years,16," 308,000 ",Albania1987,"2,15,66,24,900",796,Silent
Albania,1987,female,15-24 years,14," 289,700 ",Albania1987,"2,15,66,24,900",796,Generation X
Albania,1987,male,75+ years,1," 21,800 ",Albania1987,"2,15,66,24,900",796,G.I. Generation
Albania,1987,male,25-34 years,9," 274,300 ",Albania1987,"2,15,66,24,900",796,Boomers
Albania,1987,female,75+ years,1," 35,600 ",Albania1987,"2,15,66,24,900",796,G.I. Generation
Albania,1987,female,35-54 years,6," 278,800 ",Albania1987,"2,15,66,24,900",796,Silent
Albania,1987,female,25-34 years,4," 257,200 ",Albania1987,"2,15,66,24,900",796,Boomers
Albania,1987,male,55-74 years,1," 137,500 ",Albania1987,"2,15,66,24,900",796,G.I. Generation
Albania,1987,female,5-14 years,0," 311,000 ",Albania1987,"2,15,66,24,900",796,Generation X
Albania,1987,female,55-74 years,0," 144,600 ",Albania1987,"2,15,66,24,900",796,G.I. Generation
Albania,1987,male,5-14 years,0," 338,200 ",Albania1987,"2,15,66,24,900",796,Generation X
Albania,1988,female,75+ years,2," 36,400 ",Albania1988,"2,12,60,00,000",769,G.I. Generation
Albania,1988,male,15-24 years,17," 319,200 ",Albania1988,"2,12,60,00,000",769,Generation X
Albania,1988,male,75+ years,1," 22,300 ",Albania1988,"2,12,60,00,000",769,G.I. Generation
Albania,1988,male,35-54 years,14," 314,100 ",Albania1988,"2,12,60,00,000",769,Silent
Albania,1988,male,55-74 years,4," 140,200 ",Albania1988,"2,12,60,00,000",769,G.I. Generation
Albania,1988,female,15-24 years,8," 295,600 ",Albania1988,"2,12,60,00,000",769,Generation X
Albania,1988,female,55-74 years,3," 147,500 ",Albania1988,"2,12,60,00,000",769,G.I. Generation
Albania,1988,female,25-34 years,5," 262,400 ",Albania1988,"2,12,60,00,000",769,Boomers
Albania,1988,male,25-34 years,5," 279,900 ",Albania1988,"2,12,60,00,000",769,Boomers
Albania,1988,female,35-54 years,4," 284,500 ",Albania1988,"2,12,60,00,000",769,Silent
Albania,1988,female,5-14 years,0," 317,200 ",Albania1988,"2,12,60,00,000",769,Generation X
Albania,1988,male,5-14 years,0," 345,000 ",Albania1988,"2,12,60,00,000",769,Generation X
Albania,1989,male,75+ years,2," 22,500 ",Albania1989,"2,33,51,24,988",833,G.I. Generation
Albania,1989,male,25-34 years,18," 283,600 ",Albania1989,"2,33,51,24,988",833,Boomers
Albania,1989,male,35-54 years,15," 318,400 ",Albania1989,"2,33,51,24,988",833,Silent
Albania,1989,male,55-74 years,6," 142,100 ",Albania1989,"2,33,51,24,988",833,G.I. Generation
Albania,1989,male,15-24 years,12," 323,500 ",Albania1989,"2,33,51,24,988",833,Generation X
Albania,1989,female,35-54 years,7," 288,600 ",Albania1989,"2,33,51,24,988",833,Silent
Albania,1989,female,15-24 years,5," 299,900 ",Albania1989,"2,33,51,24,988",833,Generation X
Albania,1989,female,25-34 years,2," 266,300 ",Albania1989,"2,33,51,24,988",833,Boomers
Albania,1989,female,55-74 years,1," 149,600 ",Albania1989,"2,33,51,24,988",833,G.I. Generation
Albania,1989,female,5-14 years,0," 321,900 ",Albania1989,"2,33,51,24,988",833,Generation X
Albania,1989,female,75+ years,0," 37,000 ",Albania1989,"2,33,51,24,988",833,G.I. Generation
Albania,1989,male,5-14 years,0," 349,700 ",Albania1989,"2,33,51,24,988",833,Generation X
Albania,1992,male,35-54 years,12," 343,800 ",Albania1992,"70,94,52,584",251,Boomers
Albania,1992,male,15-24 years,9," 263,700 ",Albania1992,"70,94,52,584",251,Generation X
Albania,1992,male,55-74 years,5," 159,500 ",Albania1992,"70,94,52,584",251,Silent
Albania,1992,male,25-34 years,7," 245,500 ",Albania1992,"70,94,52,584",251,Boomers
Albania,1992,female,15-24 years,7," 292,400 ",Albania1992,"70,94,52,584",251,Generation X
Albania,1992,female,25-34 years,4," 267,400 ",Albania1992,"70,94,52,584",251,Boomers
Albania,1992,female,35-54 years,2," 323,100 ",Albania1992,"70,94,52,584",251,Boomers
Albania,1992,female,55-74 years,1," 164,900 ",Albania1992,"70,94,52,584",251,Silent
Albania,1992,female,5-14 years,0," 336,700 ",Albania1992,"70,94,52,584",251,Millenials
Albania,1992,female,75+ years,0," 38,700 ",Albania1992,"70,94,52,584",251,G.I. Generation
Albania,1992,male,5-14 years,0," 362,900 ",Albania1992,"70,94,52,584",251,Millenials
Albania,1992,male,75+ years,0," 23,900 ",Albania1992,"70,94,52,584",251,G.I. Generation
Albania,1993,male,15-24 years,18," 243,300 ",Albania1993,"1,22,80,71,038",437,Generation X
Albania,1993,male,55-74 years,7," 165,000 ",Albania1993,"1,22,80,71,038",437,Silent
Albania,1993,male,75+ years,1," 24,200 ",Albania1993,"1,22,80,71,038",437,G.I. Generation
Albania,1993,male,25-34 years,9," 230,100 ",Albania1993,"1,22,80,71,038",437,Boomers
Albania,1993,female,15-24 years,10," 285,300 ",Albania1993,"1,22,80,71,038",437,Generation X
Albania,1993,male,35-54 years,10," 350,300 ",Albania1993,"1,22,80,71,038",437,Boomers
Albania,1993,female,25-34 years,7," 261,800 ",Albania1993,"1,22,80,71,038",437,Boomers
Albania,1993,female,35-54 years,7," 331,200 ",Albania1993,"1,22,80,71,038",437,Boomers
Albania,1993,female,55-74 years,2," 169,500 ",Albania1993,"1,22,80,71,038",437,Silent
Albania,1993,female,5-14 years,1," 340,300 ",Albania1993,"1,22,80,71,038",437,Millenials
Albania,1993,male,5-14 years,1," 367,000 ",Albania1993,"1,22,80,71,038",437,Millenials
Albania,1993,female,75+ years,0," 39,300 ",Albania1993,"1,22,80,71,038",437,G.I. Generation
Albania,1994,male,75+ years,2," 24,600 ",Albania1994,"1,98,56,73,798",697,G.I. Generation
Albania,1994,male,55-74 years,11," 171,400 ",Albania1994,"1,98,56,73,798",697,Silent
Albania,1994,female,75+ years,2," 39,900 ",Albania1994,"1,98,56,73,798",697,G.I. Generation
Albania,1994,male,25-34 years,6," 231,400 ",Albania1994,"1,98,56,73,798",697,Boomers
Albania,1994,male,35-54 years,9," 362,800 ",Albania1994,"1,98,56,73,798",697,Boomers
Albania,1994,male,15-24 years,6," 242,200 ",Albania1994,"1,98,56,73,798",697,Generation X
Albania,1994,female,15-24 years,6," 282,600 ",Albania1994,"1,98,56,73,798",697,Generation X
Albania,1994,female,25-34 years,4," 261,100 ",Albania1994,"1,98,56,73,798",697,Boomers
Albania,1994,female,35-54 years,2," 342,500 ",Albania1994,"1,98,56,73,798",697,Boomers
Albania,1994,female,55-74 years,1," 174,600 ",Albania1994,"1,98,56,73,798",697,Silent
Albania,1994,male,5-14 years,1," 371,800 ",Albania1994,"1,98,56,73,798",697,Millenials
Albania,1994,female,5-14 years,0," 344,400 ",Albania1994,"1,98,56,73,798",697,Millenials
Albania,1995,male,25-34 years,13," 232,900 ",Albania1995,"2,42,44,99,009",835,Generation X
Albania,1995,male,55-74 years,9," 178,000 ",Albania1995,"2,42,44,99,009",835,Silent
Albania,1995,female,75+ years,2," 40,800 ",Albania1995,"2,42,44,99,009",835,G.I. Generation
Albania,1995,female,15-24 years,13," 283,500 ",Albania1995,"2,42,44,99,009",835,Generation X
Albania,1995,male,15-24 years,11," 241,200 ",Albania1995,"2,42,44,99,009",835,Generation X
Albania,1995,male,75+ years,1," 25,100 ",Albania1995,"2,42,44,99,009",835,G.I. Generation
Albania,1995,male,35-54 years,14," 375,900 ",Albania1995,"2,42,44,99,009",835,Boomers
Albania,1995,female,25-34 years,7," 264,000 ",Albania1995,"2,42,44,99,009",835,Generation X
Albania,1995,female,35-54 years,8," 356,400 ",Albania1995,"2,42,44,99,009",835,Boomers
Albania,1995,male,5-14 years,6," 376,500 ",Albania1995,"2,42,44,99,009",835,Millenials
Albania,1995,female,55-74 years,2," 180,400 ",Albania1995,"2,42,44,99,009",835,Silent
Albania,1995,female,5-14 years,2," 348,700 ",Albania1995,"2,42,44,99,009",835,Millenials
Albania,1996,male,75+ years,2," 25,400 ",Albania1996,"3,31,48,98,292",1127,G.I. Generation
Albania,1996,male,15-24 years,17," 243,600 ",Albania1996,"3,31,48,98,292",1127,Generation X
Albania,1996,male,25-34 years,14," 235,300 ",Albania1996,"3,31,48,98,292",1127,Generation X
Albania,1996,female,15-24 years,16," 287,700 ",Albania1996,"3,31,48,98,292",1127,Generation X
Albania,1996,female,75+ years,2," 41,200 ",Albania1996,"3,31,48,98,292",1127,G.I. Generation
Albania,1996,female,25-34 years,10," 267,900 ",Albania1996,"3,31,48,98,292",1127,Generation X
Albania,1996,male,35-54 years,12," 379,600 ",Albania1996,"3,31,48,98,292",1127,Boomers
Albania,1996,female,35-54 years,9," 362,000 ",Albania1996,"3,31,48,98,292",1127,Boomers
Albania,1996,male,55-74 years,3," 179,900 ",Albania1996,"3,31,48,98,292",1127,Silent
Albania,1996,female,55-74 years,1," 183,100 ",Albania1996,"3,31,48,98,292",1127,Silent
Albania,1996,male,5-14 years,2," 380,400 ",Albania1996,"3,31,48,98,292",1127,Millenials
Albania,1996,female,5-14 years,1," 354,100 ",Albania1996,"3,31,48,98,292",1127,Millenials
Albania,1997,male,25-34 years,36," 236,000 ",Albania1997,"2,35,99,03,108",793,Generation X
Albania,1997,male,15-24 years,33," 244,400 ",Albania1997,"2,35,99,03,108",793,Generation X
Albania,1997,male,75+ years,3," 25,400 ",Albania1997,"2,35,99,03,108",793,G.I. Generation
Albania,1997,male,35-54 years,30," 380,800 ",Albania1997,"2,35,99,03,108",793,Boomers
